LSOA code (2011),LSOA name (2011),LSOA11 local name,2016 Ward bestfit based on Population Weighted Centroid,2017 Ward name bestfit based on Population Weighted Centroid,IMD2019 Score,England Rank (where 1 is most deprived),% England Rank,England Deprivation Decile,Bristol Rank out of 263 (where 1 is most deprived),Bristol Deprivation Decile
E01014598,Bristol 048B,Imperial Park,E05010889,Bishopsworth,11.688,22534,0.686091828,England decile 7,209,Bristol decile 8
E01014651,Bristol 042E,Talbot Hill,E05010906,Knowle,11.56,22686,0.690719766,England decile 7,210,Bristol decile 8
E01014698,Bristol 036C,Stackpool Road,E05010914,Southville,11.478,22763,0.693064182,England decile 7,211,Bristol decile 8
E01014577,Bristol 012B,Stapleton,E05010897,Eastville,11.467,22778,0.693520887,England decile 7,212,Bristol decile 9
E01014709,Bristol 015A,Sneyd Park and the Downs,E05010916,Stoke Bishop,11.405,22851,0.695743515,England decile 7,213,Bristol decile 9
E01014634,Bristol 005B,Keys Avenue,E05010904,Horfield,11.263,23040,0.701497991,England decile 8,214,Bristol decile 9
E01014723,Bristol 052D,Court Farm Road,E05010902,Hengrove & Whitchurch Park,11.143,23169,0.705425649,England decile 8,215,Bristol decile 9
E01014693,Bristol 002F,Charlton Mead,E05010901,Henbury & Brentry,11.025,23312,0.709779564,England decile 8,216,Bristol decile 9
E01014637,Bristol 010C,Wellington Hill,E05010888,Bishopston & Ashley Down,10.85,23494,0.715320911,England decile 8,217,Bristol decile 9
E01014514,Bristol 016G,Radnor Road,E05010888,Bishopston & Ashley Down,10.744,23611,0.718883205,England decile 8,218,Bristol decile 9
E01014705,Bristol 049D,The Coots,E05010915,Stockwood,10.467,23920,0.728291317,England decile 8,219,Bristol decile 9
E01014721,Bristol 006D,Westbury North,E05010917,Westbury-on-Trym & Henleaze,10.369,24058,0.732492997,England decile 8,220,Bristol decile 9
E01014554,Bristol 026D,Queens Road,E05010893,Clifton,10.289,24154,0.735415905,England decile 8,221,Bristol decile 9
E01014621,Bristol 017B,Westbury Park North,E05010917,Westbury-on-Trym & Henleaze,10.255,24190,0.736511996,England decile 8,222,Bristol decile 9
E01014506,Bristol 041D,Winterstoke Road,E05010887,Bedminster,10.252,24197,0.736725125,England decile 8,223,Bristol decile 9
E01014511,Bristol 016D,Bishop Road,E05010909,Redland,9.995,24538,0.747107539,England decile 8,224,Bristol decile 9
E01014672,Bristol 017E,Manor Park,E05010909,Redland,9.931,24618,0.749543296,England decile 8,225,Bristol decile 9
E01014560,Bristol 022D,Clyde Road,E05010895,Cotham,9.512,25109,0.764492754,England decile 8,226,Bristol decile 9
E01014546,Bristol 030C,Clifton Central,E05010893,Clifton,9.485,25141,0.765467056,England decile 8,227,Bristol decile 9
E01014700,Bristol 036E,Ashton,E05010914,Southville,9.435,25217,0.767781025,England decile 8,228,Bristol decile 9
E01014561,Bristol 025C,Redland Grove,E05010895,Cotham,9.313,25365,0.772287176,England decile 8,229,Bristol decile 9
E01014557,Bristol 022A,Cotham Park,E05010895,Cotham,9.084,25672,0.781634393,England decile 8,230,Bristol decile 9
E01014507,Bristol 016A,Seymour Road,E05010888,Bishopston & Ashley Down,9.034,25753,0.784100597,England decile 8,231,Bristol decile 9
E01014510,Bristol 010A,Memorial Stadium,E05010888,Bishopston & Ashley Down,8.638,26251,0.799263184,England decile 8,232,Bristol decile 9
E01014719,Bristol 006B,Westbury Village,E05010917,Westbury-on-Trym & Henleaze,8.452,26487,0.806448666,England decile 9,233,Bristol decile 9
E01014669,Bristol 020D,Redland Court Road,E05010909,Redland,8.342,26645,0.811259286,England decile 9,234,Bristol decile 9
E01014696,Bristol 036B,Hamilton Road,E05010914,Southville,8.214,26803,0.816069906,England decile 9,235,Bristol decile 9
E01014509,Bristol 016C,Ashley Down,E05010888,Bishopston & Ashley Down,8.098,26948,0.820484716,England decile 9,236,Bristol decile 9
E01014559,Bristol 022C,Lower Redland Road,E05010894,Clifton Down,8.067,26995,0.821915723,England decile 9,237,Bristol decile 9
E01014545,Bristol 030B,Clifton College,E05010893,Clifton,7.873,27222,0.828827183,England decile 9,238,Bristol decile 10 - Least Deprived
E01014553,Bristol 026C,Whatley Road,E05010894,Clifton Down,7.808,27302,0.83126294,England decile 9,239,Bristol decile 10 - Least Deprived
E01014725,Bristol 052E,Whitchurch,E05010902,Hengrove & Whitchurch Park,7.789,27319,0.831780538,England decile 9,240,Bristol decile 10 - Least Deprived
E01014550,Bristol 034C,Hotwells East,E05010893,Clifton,7.48,27713,0.843776641,England decile 9,241,Bristol decile 10 - Least Deprived
E01014668,Bristol 020C,Berkeley Road South,E05010909,Redland,7.39,27824,0.847156254,England decile 9,242,Bristol decile 10 - Least Deprived
E01014552,Bristol 026B,Alma Road,E05010894,Clifton Down,7.311,27927,0.850292291,England decile 9,243,Bristol decile 10 - Least Deprived
E01014556,Bristol 026E,Worral Road,E05010894,Clifton Down,7.265,27986,0.852088662,England decile 9,244,Bristol decile 10 - Least Deprived
E01014547,Bristol 030D,Clifton Village,E05010893,Clifton,7.131,28155,0.857234198,England decile 9,245,Bristol decile 10 - Least Deprived
E01014619,Bristol 017A,North View,E05010917,Westbury-on-Trym & Henleaze,7.081,28213,0.859000122,England decile 9,246,Bristol decile 10 - Least Deprived
E01014544,Bristol 030A,Clifton Down,E05010893,Clifton,6.768,28589,0.870448179,England decile 9,247,Bristol decile 10 - Least Deprived
E01014513,Bristol 016F,St Bonaventures,E05010909,Redland,5.85,29628,0.902082572,England decile 10 - Least Deprived,248,Bristol decile 10 - Least Deprived
E01014616,Bristol 006A,Henleaze West,E05010917,Westbury-on-Trym & Henleaze,5.753,29738,0.905431738,England decile 10 - Least Deprived,249,Bristol decile 10 - Least Deprived
E01014710,Bristol 015B,Rockleaze,E05010916,Stoke Bishop,5.655,29847,0.908750457,England decile 10 - Least Deprived,250,Bristol decile 10 - Least Deprived
E01014667,Bristol 017D,Westbury Park South,E05010909,Redland,5.452,30062,0.915296553,England decile 10 - Least Deprived,251,Bristol decile 10 - Least Deprived
E01014617,Bristol 011B,West Broadway,E05010917,Westbury-on-Trym & Henleaze,5.37,30147,0.917884545,England decile 10 - Least Deprived,252,Bristol decile 10 - Least Deprived
E01014620,Bristol 011D,Henleaze South,E05010917,Westbury-on-Trym & Henleaze,5.106,30412,0.92595299,England decile 10 - Least Deprived,253,Bristol decile 10 - Least Deprived
E01014666,Bristol 017C,Cranbrook Road,E05010909,Redland,5.026,30477,0.927932042,England decile 10 - Least Deprived,254,Bristol decile 10 - Least Deprived
E01014714,Bristol 015F,University Halls,E05010916,Stoke Bishop,4.901,30599,0.931646572,England decile 10 - Least Deprived,255,Bristol decile 10 - Least Deprived
E01014713,Bristol 015E,Old Sneed Park,E05010916,Stoke Bishop,4.734,30769,0.936822555,England decile 10 - Least Deprived,256,Bristol decile 10 - Least Deprived
E01014718,Bristol 009D,Henbury Hill,E05010917,Westbury-on-Trym & Henleaze,4.712,30787,0.9373706,England decile 10 - Least Deprived,257,Bristol decile 10 - Least Deprived
E01014711,Bristol 015C,Stoke Bishop North,E05010916,Stoke Bishop,4.699,30805,0.937918646,England decile 10 - Least Deprived,258,Bristol decile 10 - Least Deprived
E01014716,Bristol 009B,Canford Lane,E05010917,Westbury-on-Trym & Henleaze,3.989,31522,0.959749117,England decile 10 - Least Deprived,259,Bristol decile 10 - Least Deprived
E01014717,Bristol 009C,Elmlea,E05010917,Westbury-on-Trym & Henleaze,3.764,31704,0.965290464,England decile 10 - Least Deprived,260,Bristol decile 10 - Least Deprived
E01014618,Bristol 011C,Henleaze North,E05010917,Westbury-on-Trym & Henleaze,3.668,31777,0.967513092,England decile 10 - Least Deprived,261,Bristol decile 10 - Least Deprived
E01014715,Bristol 009A,Canford Park,E05010917,Westbury-on-Trym & Henleaze,3.495,31914,0.971684326,England decile 10 - Least Deprived,262,Bristol decile 10 - Least Deprived
E01014615,Bristol 011A,Golden Hill,E05010917,Westbury-on-Trym & Henleaze,3.368,31994,0.974120083,England decile 10 - Least Deprived,263,Bristol decile 10 - Least Deprived
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
